rail_zenith[°],  wind_angle[°],  wind_speed[m/s], acc_noise[m/s²], gyro_noise[m/s²], baro_noise[m/s²], wind_gust_x[m/s], wind_gust_y[m/s], end_burn[s], used_propellant[kg], apogee_error[m], Kalman error_x[m], Kalman error_y[m], Kalman error_z[m]
8.32 36.67 9.45 0.11766 0.04387 0.74 2.51 6.68 6.95 9.42 -56.0 -87.6 41.6 -0.1 -3.6 2.2 -0.4 0.04221
6.40 71.31 12.13 0.03106 0.04327 0.08 7.25 9.90 7.01 9.36 -13.9 87.4 -23.5 -0.0 5.6 -1.6 0.4 0.04236
1.99 49.93 2.48 0.12024 0.01083 0.54 5.98 7.35 6.64 8.83 27.7 27.4 -19.6 -0.3 1.2 -1.2 -0.3 0.04236
9.59 36.51 12.83 0.18659 0.04352 0.20 0.30 4.84 7.41 9.90 -102.8 44.8 18.1 -0.0 3.4 1.3 0.5 0.05574
5.09 11.68 11.06 0.17781 0.03910 0.63 5.40 6.31 6.94 9.37 -66.1 -228.3 -114.4 0.2 -10.0 -7.5 -0.9 0.04886
9.55 111.38 14.64 0.18264 0.00186 0.42 9.62 6.69 6.80 9.24 17.9 -11.2 -18.4 0.2 -0.1 -1.0 0.3 0.04380
2.75 166.15 2.29 0.16034 0.04632 0.27 7.71 7.50 6.35 8.73 -32.9 -136.3 73.6 0.0 -7.1 2.9 0.5 0.05419
7.66 139.52 6.90 0.04233 0.02718 0.69 8.76 1.90 6.36 8.80 15.9 -93.0 -49.9 0.2 -4.5 -2.4 0.9 0.04563
2.43 80.41 13.02 0.11436 0.03508 0.21 2.70 6.81 7.36 9.38 -77.4 -39.1 -6.7 0.1 -2.6 -0.4 0.3 0.04163
6.69 61.15 11.01 0.13391 0.01303 0.01 9.85 9.62 6.99 9.27 -51.4 -5.4 20.0 0.0 0.3 0.6 1.0 0.04047
8.25 75.21 10.61 0.15769 0.02894 0.19 6.83 6.36 7.09 9.37 -1.2 -123.3 -112.2 0.0 -5.4 -5.6 0.1 0.05002
2.38 11.31 1.46 0.18630 0.02220 0.30 0.44 6.58 6.37 8.76 47.8 -24.0 10.1 -0.0 -0.8 0.4 -0.2 0.04059
9.57 121.53 10.61 0.03632 0.00785 0.04 0.28 8.67 6.58 9.04 -11.7 -61.1 -19.2 -0.0 -2.8 -0.9 0.0 0.04798
7.44 88.76 4.96 0.19206 0.02277 0.92 3.68 0.77 6.61 8.92 -63.7 -85.1 74.6 0.1 -4.0 3.3 1.0 0.04048
4.32 4.20 2.44 0.08020 0.03776 0.84 4.69 0.69 6.71 8.88 -28.1 -61.1 39.7 -0.5 -3.1 1.8 0.0 0.05442
3.55 65.59 12.68 0.12019 0.01271 0.10 8.68 2.77 6.68 9.16 18.5 28.1 -2.9 -0.0 1.5 0.2 0.1 0.05264
8.59 138.34 9.17 0.05285 0.01954 0.20 3.82 6.93 6.60 8.89 -38.8 17.4 -84.0 0.0 0.5 -4.1 0.4 0.04216
4.16 58.35 3.69 0.11440 0.03351 0.25 3.81 1.08 6.48 8.81 -48.0 -18.6 -57.7 0.0 -0.4 -3.3 0.9 0.04140
9.67 42.40 7.32 0.06864 0.03740 0.94 8.53 5.01 7.19 9.39 -42.5 84.1 131.2 0.1 5.4 6.8 -0.9 0.04486
9.18 85.77 4.87 0.06655 0.03950 0.08 4.18 4.26 6.87 9.09 -22.1 -183.1 65.1 0.0 -9.9 2.8 -0.5 0.04505
8.84 163.18 3.98 0.00101 0.03137 0.64 0.09 0.77 6.75 8.87 54.3 28.2 24.6 0.1 1.2 0.8 -0.6 0.04053
