rail_zenith[°],  wind_angle[°],  wind_speed[m/s], acc_noise[m/s²], gyro_noise[m/s²], baro_noise[m/s²], wind_gust_x[m/s], wind_gust_y[m/s], end_burn[s], used_propellant[kg], apogee_error[m], Kalman error_x[m], Kalman error_y[m], Kalman error_z[m]
0.06 166.45 0.82 0.18904 0.01544 0.92 9.33 8.44 6.56 8.84 1.0 -23.6 -69.5 -0.4 -0.8 -4.5 0.1 0.03580
0.18 172.76 13.76 0.16720 0.03765 0.65 1.74 4.46 7.14 9.38 -25.8 244.0 537.1 -0.1 12.6 27.3 0.8 0.05695
9.50 6.14 10.02 0.12915 0.04311 0.75 3.87 9.59 7.53 9.82 -99.2 328.2 283.5 -0.4 14.9 19.2 1.3 0.05559
2.16 102.17 9.22 0.04005 0.04842 0.77 0.75 2.51 6.75 9.06 -11.8 151.2 -220.0 -0.1 7.6 -12.9 -0.2 0.02041
7.64 5.04 11.43 0.29813 0.02412 0.52 2.60 6.51 7.49 9.76 -74.3 -28.0 -13.6 -0.3 -0.4 0.7 1.3 0.05354
6.48 2.87 13.13 0.19412 0.00547 0.21 2.49 8.04 7.59 9.88 -49.4 45.8 13.8 -0.0 1.7 0.3 -0.6 0.05919
7.63 12.47 14.42 0.14132 0.00839 0.14 7.60 0.28 7.85 10.00 -83.7 35.5 -5.1 0.0 2.2 -0.4 0.9 0.02525
4.86 169.37 10.41 0.00943 0.00294 0.74 1.45 7.65 6.63 8.99 10.5 2.3 -10.3 -0.1 0.5 -0.7 -0.7 0.05862
0.69 125.72 4.69 0.02644 0.04329 0.33 6.31 3.37 6.61 8.91 26.1 -22.5 -314.9 0.1 0.2 -16.9 -1.1 0.05419
7.29 42.63 11.80 0.15311 0.00097 0.46 7.52 7.79 7.41 9.65 -50.2 -8.7 -3.8 -0.1 -0.3 -0.3 0.1 0.03639
1.23 78.97 0.34 0.25782 0.01850 0.10 6.77 9.64 6.61 8.88 14.0 217.4 103.1 -0.1 9.2 5.8 -0.7 0.05875
6.96 128.98 4.75 0.22233 0.01286 0.98 2.58 2.38 6.67 8.94 22.0 -54.3 21.1 -0.6 -3.2 0.3 -0.9 0.03904
1.56 8.34 12.76 0.20807 0.02239 0.93 1.00 8.34 7.13 9.41 -36.2 27.6 38.8 -0.1 2.0 1.8 0.5 0.05467
1.69 113.29 6.44 0.13446 0.00996 0.91 9.15 5.38 6.67 8.92 11.6 -7.3 24.5 0.0 -0.7 1.3 -0.3 0.02752
